16.28318 3.85635 | 33.22257 3.97930
15.34382 4.48081 | 33.22227 3.98077
14.37470 5.17604 | 33.22048 3.98368
13.39235 5.87961 | 33.21703 3.98654
12.44752 6.58488 | 33.21074 3.98825
11.43682 7.29953 | 33.20052 3.99322
10.41667 7.91646 | 33.18711 3.99025
9.56663 8.61720 | 33.17138 3.98789
8.40734 9.30882 | 33.15005 3.98209
7.44229 9.98927 | 33.12498 3.97809
6.76990 10.61806 | 33.09379 3.97310
6.28316 10.69458 | 33.05990 3.97167
6.00810 10.69409 | 33.02208 3.97035
6.06321 10.61028 | 32.97537 3.96251
5.90975 10.40590 | 32.92621 3.95499
5.74275 10.21495 | 32.86862 3.95431
5.67398 10.03964 | 32.80738 3.95204
5.67943 9.88095 | 32.74273 3.95412
5.74176 9.77477 | 32.67421 3.96390
5.70043 9.85263 | 32.59693 3.97612
5.61028 9.86108 | 32.51697 3.98843
5.46055 9.76242 | 32.43081 4.01106
5.43744 9.86900 | 32.33704 4.02844
5.27973 9.96588 | 32.24311 4.05738
5.14050 10.02845 | 32.14114 4.09190
5.16609 10.04867 | 32.03587 4.12679
5.19168 10.05684 | 31.92794 4.16361
5.11639 9.99622 | 31.81556 4.20192
5.00674 9.92016 | 31.70583 4.24976
4.94970 9.89870 | 31.59079 4.30001
4.99880 9.89220 | 31.47825 4.34349
4.87910 10.16765 | 31.36675 4.39333
5.25648 9.78306 | 31.25360 4.43963
5.20675 9.81926 | 31.13752 4.47910
5.20394 9.87665 | 31.02753 4.51208
5.14071 9.94613 | 30.91692 4.54751
5.28039 10.03194 | 30.81005 4.57593
5.25675 10.19420 | 30.70249 4.60787
5.22275 10.18867 | 30.59799 4.63459
5.41610 10.25566 | 30.49541 4.65349
5.61598 10.31553 | 30.39304 4.67785
5.70419 10.72006 | 30.28844 4.69547
5.97196 10.75072 | 30.18693 4.71383
6.11074 10.91111 | 30.08637 4.73160
6.23278 11.02793 | 29.98673 4.74455
6.29771 11.08620 | 29.88737 4.76368
6.28383 10.67219 | 29.78945 4.77946
6.12298 10.86225 | 29.69598 4.79598
6.26987 10.94174 | 29.60963 4.81430
6.38590 11.09677 | 29.52657 4.83332
6.68280 11.37765 | 29.45071 4.85327
7.07026 11.59617 | 29.37991 4.87489
7.49722 11.96994 | 29.31999 4.90174
7.90227 12.21201 | 29.26598 4.91998
8.29085 12.43005 | 29.22558 4.94317
8.80205 12.65762 | 29.19675 4.96557
9.16865 12.78927 | 29.18018 4.98988
9.55744 12.82500 | 29.17218 5.01464
9.82927 13.11847 | 29.17797 5.03567
9.92654 13.07037 | 29.19577 5.05814
9.96316 13.11358 | 29.22406 5.07449
10.19766 12.99914 | 29.26434 5.08508
10.07236 13.02677 | 29.31350 5.09635
10.28070 13.39398 | 29.37146 5.10077
10.40477 13.63578 | 29.43655 5.10405
